1,1,1,2
2,3,4,7
3,8,8,16
4,5,5,10
5,4,6,10
6,11,7,18
7,2,6,8
8,6,6,12
9,12,2,14
10,13,2,15
11,17,1,18
12,10,10,20
13,15,5,20
14,14,3,17
15,7,3,10
16,21,22,43
17,23,17,40
18,31,11,42
19,33,22,55
20,5,39,44
21,45,13,58
22,51,23,74
23,78,13,91
24,91,11,102
25,83,15,98
26,91,14,105
27,99,14,113
28,108,13,121
29,116,12,128
30,124,12,136
31,132,21,153
32,140,23,163
33,148,31,179
34,157,33,190
35,165,5,170
36,173,45,218
37,181,51,232
38,189,78,267
39,198,91,289
40,206,83,289
41,214,91,305
42,222,99,321
43,231,108,339
44,239,116,355
45,247,124,371